sniffing_name, start_time, last_step_time, actual_time, duration_bt_start, duration_bt_step, nb_iters
Sniffeur,2025-04-27 16:56:04.648519,2025-04-27 16:56:04.900675,2025-04-27 16:56:04.900675,0:00:00.252156,0:00:00.126790, 20000
Sniffeur,2025-04-27 16:56:04.648519,2025-04-27 16:56:05.040743,2025-04-27 16:56:05.040743,0:00:00.392224,0:00:00.140068, 30000
Sniffeur,2025-04-27 16:56:04.648519,2025-04-27 16:56:05.186577,2025-04-27 16:56:05.186577,0:00:00.538058,0:00:00.145834, 40000
Sniffeur,2025-04-28 18:53:50.236083,2025-04-28 18:53:50.478654,2025-04-28 18:53:50.478654,0:00:00.242571,0:00:00.242571, 10000
Sniffeur,2025-04-28 18:53:50.236083,2025-04-28 18:53:50.605778,2025-04-28 18:53:50.605778,0:00:00.369695,0:00:00.127124, 20000
Sniffeur,2025-04-28 18:53:50.236083,2025-04-28 18:53:50.736760,2025-04-28 18:53:50.736760,0:00:00.500677,0:00:00.130982, 30000
Sniffeur,2025-04-28 18:53:50.236083,2025-04-28 18:53:50.889244,2025-04-28 18:53:50.889244,0:00:00.653161,0:00:00.152484, 40000
Sniffeur,2025-04-28 20:40:52.892048,2025-04-28 20:40:53.026271,2025-04-28 20:40:53.026271,0:00:00.134223,0:00:00.134223, 10000
Sniffeur,2025-04-28 20:40:52.892048,2025-04-28 20:40:53.163588,2025-04-28 20:40:53.163588,0:00:00.271540,0:00:00.137317, 20000
Sniffeur,2025-04-28 20:40:52.892048,2025-04-28 20:40:53.273345,2025-04-28 20:40:53.273345,0:00:00.381297,0:00:00.109757, 30000
Sniffeur,2025-04-28 20:40:52.892048,2025-04-28 20:40:53.417961,2025-04-28 20:40:53.417961,0:00:00.525913,0:00:00.144616, 40000
Sniffeur,2025-04-28 20:42:05.629548,2025-04-28 20:42:05.757380,2025-04-28 20:42:05.757380,0:00:00.127832,0:00:00.127832, 10000
Sniffeur,2025-04-28 20:42:05.629548,2025-04-28 20:42:05.924283,2025-04-28 20:42:05.924283,0:00:00.294735,0:00:00.166903, 20000
Sniffeur,2025-04-28 20:42:05.629548,2025-04-28 20:42:06.044671,2025-04-28 20:42:06.044671,0:00:00.415123,0:00:00.120388, 30000
Sniffeur,2025-04-28 20:42:05.629548,2025-04-28 20:42:06.221703,2025-04-28 20:42:06.221703,0:00:00.592155,0:00:00.177032, 40000
Sniffeur,2025-04-29 20:27:53.678245,2025-04-29 20:27:53.998747,2025-04-29 20:27:53.998747,0:00:00.320502,0:00:00.320502, 10000
Sniffeur,2025-04-29 20:27:53.678245,2025-04-29 20:27:54.294661,2025-04-29 20:27:54.294661,0:00:00.616416,0:00:00.295914, 20000
Sniffeur,2025-04-29 20:27:54.081123,2025-04-29 20:27:54.563392,2025-04-29 20:27:54.563392,0:00:00.482269,0:00:00.482269, 10000
Sniffeur,2025-04-29 20:27:53.678245,2025-04-29 20:27:54.695602,2025-04-29 20:27:54.695602,0:00:01.017357,0:00:00.400941, 30000
Sniffeur,2025-04-29 20:27:54.081123,2025-04-29 20:27:54.940219,2025-04-29 20:27:54.940219,0:00:00.859096,0:00:00.376827, 20000
Sniffeur,2025-04-29 20:27:53.678245,2025-04-29 20:27:55.192881,2025-04-29 20:27:55.192881,0:00:01.514636,0:00:00.497279, 40000
Sniffeur,2025-04-29 20:27:54.081123,2025-04-29 20:27:55.280398,2025-04-29 20:27:55.280398,0:00:01.199275,0:00:00.340179, 30000
Sniffeur,2025-04-29 20:27:54.081123,2025-04-29 20:27:55.656255,2025-04-29 20:27:55.656255,0:00:01.575132,0:00:00.375857, 40000
Sniffeur,2025-04-29 20:29:34.761977,2025-04-29 20:29:34.880172,2025-04-29 20:29:34.880172,0:00:00.118195,0:00:00.118195, 10000
Sniffeur,2025-04-29 20:29:34.761977,2025-04-29 20:29:35.044426,2025-04-29 20:29:35.044426,0:00:00.282449,0:00:00.164254, 20000
Sniffeur,2025-04-29 20:29:34.761977,2025-04-29 20:29:35.163610,2025-04-29 20:29:35.163610,0:00:00.401633,0:00:00.119184, 30000
Sniffeur,2025-04-29 20:29:34.761977,2025-04-29 20:29:35.325109,2025-04-29 20:29:35.325109,0:00:00.563132,0:00:00.161499, 40000
Sniffeur,2025-04-29 20:30:12.615047,2025-04-29 20:30:12.734053,2025-04-29 20:30:12.734053,0:00:00.119006,0:00:00.119006, 10000
Sniffeur,2025-04-29 20:30:12.615047,2025-04-29 20:30:12.848469,2025-04-29 20:30:12.848469,0:00:00.233422,0:00:00.114416, 20000
Sniffeur,2025-04-29 20:30:12.615047,2025-04-29 20:30:12.981279,2025-04-29 20:30:12.981279,0:00:00.366232,0:00:00.132810, 30000
Sniffeur,2025-04-29 20:30:12.615047,2025-04-29 20:30:13.130436,2025-04-29 20:30:13.130436,0:00:00.515389,0:00:00.149157, 40000
Sniffeur,2025-04-29 20:30:53.000517,2025-04-29 20:30:53.147297,2025-04-29 20:30:53.147297,0:00:00.146780,0:00:00.146780, 10000
Sniffeur,2025-04-29 20:30:53.000517,2025-04-29 20:30:53.330516,2025-04-29 20:30:53.330516,0:00:00.329999,0:00:00.183219, 20000
Sniffeur,2025-04-29 20:30:53.000517,2025-04-29 20:30:53.480660,2025-04-29 20:30:53.480660,0:00:00.480143,0:00:00.150144, 30000
Sniffeur,2025-04-29 20:30:53.000517,2025-04-29 20:30:53.682668,2025-04-29 20:30:53.682668,0:00:00.682151,0:00:00.202008, 40000
Sniffeur,2025-04-29 20:31:09.452926,2025-04-29 20:31:09.616098,2025-04-29 20:31:09.616098,0:00:00.163172,0:00:00.163172, 10000
Sniffeur,2025-04-29 20:31:09.452926,2025-04-29 20:31:09.798514,2025-04-29 20:31:09.798514,0:00:00.345588,0:00:00.182416, 20000
Sniffeur,2025-04-29 20:31:09.452926,2025-04-29 20:31:09.966680,2025-04-29 20:31:09.966680,0:00:00.513754,0:00:00.168166, 30000
Sniffeur,2025-04-29 20:31:09.452926,2025-04-29 20:31:10.168912,2025-04-29 20:31:10.168912,0:00:00.715986,0:00:00.202232, 40000
Sniffeur,2025-04-29 20:31:30.925926,2025-04-29 20:31:31.097868,2025-04-29 20:31:31.097868,0:00:00.171942,0:00:00.171942, 10000
Sniffeur,2025-04-29 20:31:30.925926,2025-04-29 20:31:31.296437,2025-04-29 20:31:31.296437,0:00:00.370511,0:00:00.198569, 20000
Sniffeur,2025-04-29 20:31:30.925926,2025-04-29 20:31:31.483059,2025-04-29 20:31:31.483059,0:00:00.557133,0:00:00.186622, 30000
Sniffeur,2025-04-29 20:31:30.925926,2025-04-29 20:31:31.700940,2025-04-29 20:31:31.700940,0:00:00.775014,0:00:00.217881, 40000
Sniffeur,2025-04-29 20:32:26.774759,2025-04-29 20:32:26.950903,2025-04-29 20:32:26.950903,0:00:00.176144,0:00:00.176144, 10000
Sniffeur,2025-04-29 20:32:26.774759,2025-04-29 20:32:27.118335,2025-04-29 20:32:27.118335,0:00:00.343576,0:00:00.167432, 20000
Sniffeur,2025-04-29 20:32:26.774759,2025-04-29 20:32:27.311189,2025-04-29 20:32:27.311189,0:00:00.536430,0:00:00.192854, 30000
Sniffeur,2025-04-29 20:32:26.774759,2025-04-29 20:32:27.532443,2025-04-29 20:32:27.532443,0:00:00.757684,0:00:00.221254, 40000
Sniffeur,2025-04-29 20:33:13.746692,2025-04-29 20:33:13.896175,2025-04-29 20:33:13.896175,0:00:00.149483,0:00:00.149483, 10000
Sniffeur,2025-04-29 20:33:13.746692,2025-04-29 20:33:14.082368,2025-04-29 20:33:14.082368,0:00:00.335676,0:00:00.186193, 20000
Sniffeur,2025-04-29 20:33:13.746692,2025-04-29 20:33:14.250052,2025-04-29 20:33:14.250052,0:00:00.503360,0:00:00.167684, 30000
Sniffeur,2025-04-29 20:33:13.746692,2025-04-29 20:33:14.449435,2025-04-29 20:33:14.449435,0:00:00.702743,0:00:00.199383, 40000
Sniffeur,2025-04-29 20:33:59.800990,2025-04-29 20:33:59.964875,2025-04-29 20:33:59.964875,0:00:00.163885,0:00:00.163885, 10000
Sniffeur,2025-04-29 20:33:59.800990,2025-04-29 20:34:00.162008,2025-04-29 20:34:00.162008,0:00:00.361018,0:00:00.197133, 20000
Sniffeur,2025-04-29 20:33:59.800990,2025-04-29 20:34:00.341751,2025-04-29 20:34:00.341751,0:00:00.540761,0:00:00.179743, 30000
Sniffeur,2025-04-29 20:33:59.800990,2025-04-29 20:34:00.540670,2025-04-29 20:34:00.540670,0:00:00.739680,0:00:00.198919, 40000
Sniffeur,2025-04-29 20:36:19.666849,2025-04-29 20:36:19.790164,2025-04-29 20:36:19.790164,0:00:00.123315,0:00:00.123315, 10000
Sniffeur,2025-04-29 20:36:19.666849,2025-04-29 20:36:19.913282,2025-04-29 20:36:19.913282,0:00:00.246433,0:00:00.123118, 20000
Sniffeur,2025-04-29 20:36:19.666849,2025-04-29 20:36:20.044726,2025-04-29 20:36:20.044726,0:00:00.377877,0:00:00.131444, 30000
Sniffeur,2025-04-29 20:36:19.666849,2025-04-29 20:36:20.198849,2025-04-29 20:36:20.198849,0:00:00.532000,0:00:00.154123, 40000
Sniffeur,2025-04-29 20:36:57.031080,2025-04-29 20:36:57.200945,2025-04-29 20:36:57.200945,0:00:00.169865,0:00:00.169865, 10000
Sniffeur,2025-04-29 20:36:57.031080,2025-04-29 20:36:57.415763,2025-04-29 20:36:57.415763,0:00:00.384683,0:00:00.214818, 20000
Sniffeur,2025-04-29 20:36:57.031080,2025-04-29 20:36:57.615300,2025-04-29 20:36:57.615300,0:00:00.584220,0:00:00.199537, 30000
