Open time,Open,High,Low,Close
1503058035000,4336.52,4336.52,4336.52,4336.52
1503058036000,4336.52,4336.52,4336.52,4336.52
1503058037000,4336.52,4336.52,4336.52,4336.52
1503058038000,4336.52,4336.52,4336.52,4336.52
1503058039000,4336.52,4336.52,4336.52,4336.52
1503058040000,4336.52,4336.52,4336.52,4336.52
1503058041000,4336.52,4336.52,4336.52,4336.52
1503058042000,4336.52,4336.52,4336.52,4336.52
1503058043000,4336.52,4336.52,4336.52,4336.52
1503058044000,4336.52,4336.52,4336.52,4336.52
1503058045000,4336.52,4336.52,4336.52,4336.52
1503058046000,4336.52,4336.52,4336.52,4336.52
1503058047000,4336.52,4336.52,4336.52,4336.52
1503058048000,4336.52,4336.52,4336.52,4336.52
1503058049000,4336.52,4336.52,4336.52,4336.52
1503058050000,4336.52,4336.52,4336.52,4336.52
1503058051000,4336.52,4336.52,4336.52,4336.52
1503058052000,4336.52,4336.52,4336.52,4336.52
1503058053000,4336.52,4336.52,4336.52,4336.52
1503058054000,4336.52,4336.52,4336.52,4336.52
1503058055000,4336.52,4336.52,4336.52,4336.52
1503058056000,4336.52,4336.52,4336.52,4336.52
1503058057000,4336.52,4336.52,4336.52,4336.52
1503058058000,4336.52,4336.52,4336.52,4336.52
1503058059000,4336.52,4336.52,4336.52,4336.52
1503058060000,4336.52,4336.52,4336.52,4336.52
1503058061000,4336.52,4336.52,4336.52,4336.52
1503058062000,4336.52,4336.52,4336.52,4336.52
1503058063000,4336.52,4336.52,4336.52,4336.52
1503058064000,4336.52,4336.52,4336.52,4336.52
1503058065000,4336.52,4336.52,4336.52,4336.52
1503058066000,4336.52,4336.52,4336.52,4336.52
1503058067000,4336.52,4336.52,4336.52,4336.52
1503058068000,4336.52,4336.52,4336.52,4336.52
1503058069000,4336.52,4336.52,4336.52,4336.52
1503058070000,4336.52,4336.52,4336.52,4336.52
1503058071000,4336.52,4336.52,4336.52,4336.52
1503058072000,4336.52,4336.52,4336.52,4336.52
1503058073000,4336.52,4336.52,4336.52,4336.52
1503058074000,4336.52,4336.52,4336.52,4336.52
1503058075000,4336.52,4336.52,4336.52,4336.52
1503058076000,4336.52,4336.52,4336.52,4336.52
1503058077000,4336.52,4336.52,4336.52,4336.52
1503058078000,4336.52,4336.52,4336.52,4336.52
1503058079000,4336.52,4336.52,4336.52,4336.52
1503058080000,4336.52,4336.52,4336.52,4336.52
1503058081000,4336.52,4336.52,4336.52,4336.52
1503058082000,4336.52,4336.52,4336.52,4336.52
1503058083000,4336.52,4336.52,4336.52,4336.52
1503058084000,4336.52,4336.52,4336.52,4336.52
1503058085000,4336.52,4336.52,4336.52,4336.52
1503058086000,4336.52,4336.52,4336.52,4336.52
1503058087000,4336.52,4336.52,4336.52,4336.52
1503058088000,4336.52,4336.52,4336.52,4336.52
1503058089000,4336.52,4336.52,4336.52,4336.52
1503058090000,4336.52,4336.52,4336.52,4336.52
1503058091000,4336.52,4336.52,4336.52,4336.52
1503058092000,4336.52,4336.52,4336.52,4336.52
1503058093000,4336.52,4336.52,4336.52,4336.52
1503058094000,4336.52,4336.52,4336.52,4336.52
1503058095000,4336.52,4336.52,4336.52,4336.52
1503058096000,4336.52,4336.52,4336.52,4336.52
1503058097000,4336.52,4336.52,4336.52,4336.52
1503058098000,4336.52,4336.52,4336.52,4336.52
1503058099000,4336.52,4336.52,4336.52,4336.52
1503058100000,4336.52,4336.52,4336.52,4336.52
1503058101000,4336.52,4336.52,4336.52,4336.52
1503058102000,4336.52,4336.52,4336.52,4336.52
1503058103000,4336.52,4336.52,4336.52,4336.52
1503058104000,4336.52,4336.52,4336.52,4336.52
1503058105000,4336.52,4336.52,4336.52,4336.52
1503058106000,4336.52,4336.52,4336.52,4336.52
1503058107000,4336.52,4336.52,4336.52,4336.52
1503058108000,4336.52,4336.52,4336.52,4336.52
1503058109000,4336.52,4336.52,4336.52,4336.52
1503058110000,4336.52,4336.52,4336.52,4336.52
1503058111000,4336.52,4336.52,4336.52,4336.52
1503058112000,4336.52,4336.52,4336.52,4336.52
1503058113000,4336.52,4336.52,4336.52,4336.52
1503058114000,4336.52,4336.52,4336.52,4336.52
1503058115000,4336.52,4336.52,4336.52,4336.52
1503058116000,4336.52,4336.52,4336.52,4336.52
1503058117000,4336.52,4336.52,4336.52,4336.52
1503058118000,4336.52,4336.52,4336.52,4336.52
1503058119000,4336.52,4336.52,4336.52,4336.52
1503058120000,4336.52,4336.52,4336.52,4336.52
1503058121000,4336.52,4336.52,4336.52,4336.52
1503058122000,4336.52,4336.52,4336.52,4336.52
1503058123000,4336.52,4336.52,4336.52,4336.52
1503058124000,4336.52,4336.52,4336.52,4336.52
1503058125000,4336.52,4336.52,4336.52,4336.52
1503058126000,4336.52,4336.52,4336.52,4336.52
1503058127000,4336.52,4336.52,4336.52,4336.52
1503058128000,4336.52,4336.52,4336.52,4336.52
1503058129000,4336.52,4336.52,4336.52,4336.52
1503058130000,4336.52,4336.52,4336.52,4336.52
1503058131000,4336.52,4336.52,4336.52,4336.52
1503058132000,4336.52,4336.52,4336.52,4336.52
1503058133000,4336.52,4336.52,4336.52,4336.52
